quest_category,task_type,scene_count,choice_sections,normal_sections,total_sections,total_lines,avg_sections_per_scene,avg_lines_per_scene,choice_ratio
main_quests/part1/q105,主线任务,35,298,1269,1567,3452,44.77,98.63,19.02%
main_quests/part1/q115,主线任务,21,140,1126,1266,2482,60.29,118.19,11.06%
main_quests/part1/q110,主线任务,31,107,926,1033,2044,33.32,65.94,10.36%
main_quests/prologue/q005,主线任务,13,122,848,970,1964,74.62,151.08,12.58%
main_quests/prologue/q000,主线任务,24,189,967,1156,1954,48.17,81.42,16.35%
side_quests/sq027,支线/小任务,20,125,966,1091,1870,54.55,93.50,11.46%
main_quests/part1/q114,主线任务,21,115,644,759,1843,36.14,87.76,15.15%
main_quests/part1/q112,主线任务,19,156,798,954,1801,50.21,94.79,16.35%
main_quests/part1/q104,主线任务,13,73,460,533,1317,41.00,101.31,13.70%
side_quests/sq011,支线/小任务,10,88,567,655,1312,65.50,131.20,13.44%
main_quests/epilogue/q201,主线任务,9,129,654,783,1302,87.00,144.67,16.48%
side_quests/sq026,支线/小任务,16,115,509,624,1257,39.00,78.56,18.43%
side_quests/sq023,支线/小任务,9,117,559,676,1220,75.11,135.56,17.31%
main_quests/part1/q103,主线任务,15,112,443,555,1201,37.00,80.07,20.18%
side_quests/sq012,支线/小任务,12,108,456,564,1190,47.00,99.17,19.15%
main_quests/prologue/q003,主线任务,20,72,650,722,1189,36.10,59.45,9.97%
side_quests/sq017,支线/小任务,14,80,551,631,1128,45.07,80.57,12.68%
side_quests/sq021,支线/小任务,12,136,526,662,1126,55.17,93.83,20.54%
side_quests/sq031,支线/小任务,14,93,467,560,1118,40.00,79.86,16.61%
main_quests/part1/q116,主线任务,5,112,435,547,1099,109.40,219.80,20.48%
main_quests/epilogue/q203,主线任务,10,130,401,531,1058,53.10,105.80,24.48%
main_quests/prologue/q004,主线任务,9,93,382,475,1007,52.78,111.89,19.58%
main_quests/part1/q101,主线任务,15,76,454,530,984,35.33,65.60,14.34%
side_quests/sq030,支线/小任务,9,98,390,488,933,54.22,103.67,20.08%
side_quests/sq029,支线/小任务,7,72,414,486,925,69.43,132.14,14.81%
main_quests/part1/q113,主线任务,11,43,476,519,917,47.18,83.36,8.29%
side_quests/sq004,支线/小任务,9,59,431,490,912,54.44,101.33,12.04%
side_quests/sq024,支线/小任务,12,60,315,375,858,31.25,71.50,16.00%
main_quests/prologue/q001,主线任务,29,75,447,522,855,18.00,29.48,14.37%
main_quests/part1/q108,主线任务,21,77,380,457,801,21.76,38.14,16.85%
side_quests/sq006,支线/小任务,10,67,251,318,782,31.80,78.20,21.07%
main_quests/epilogue/q204,主线任务,10,73,278,351,748,35.10,74.80,20.80%
main_quests/epilogue/q202,主线任务,4,43,346,389,745,97.25,186.25,11.05%
side_quests/sq018,支线/小任务,11,73,279,352,694,32.00,63.09,20.74%
side_quests/sq032,支线/小任务,6,74,262,336,671,56.00,111.83,22.02%
side_quests/sq025,支线/小任务,10,41,230,271,581,27.10,58.10,15.13%
minor_quests/mq025,支线/小任务,7,50,239,289,542,41.29,77.43,17.30%
side_quests/sq028,支线/小任务,10,31,158,189,361,18.90,36.10,16.40%
minor_quests/mq026,支线/小任务,4,23,142,165,350,41.25,87.50,13.94%
minor_quests/mq037,支线/小任务,2,30,96,126,330,63.00,165.00,23.81%
minor_quests/mq019,支线/小任务,5,31,114,145,308,29.00,61.60,21.38%
minor_quests/mq028,支线/小任务,4,23,149,172,263,43.00,65.75,13.37%
minor_quests/mq000,支线/小任务,4,47,29,76,239,19.00,59.75,61.84%
minor_quests/mq009,支线/小任务,3,18,61,79,235,26.33,78.33,22.78%
minor_quests/mq006,支线/小任务,2,19,96,115,227,57.50,113.50,16.52%
minor_quests/mq040,支线/小任务,4,15,78,93,225,23.25,56.25,16.13%
minor_quests/mq014,支线/小任务,8,18,102,120,220,15.00,27.50,15.00%
minor_quests/mq010,支线/小任务,5,20,57,77,219,15.40,43.80,25.97%
minor_quests/mq032,支线/小任务,4,16,70,86,211,21.50,52.75,18.60%
minor_quests/mq001,支线/小任务,5,18,91,109,210,21.80,42.00,16.51%
minor_quests/mq018,支线/小任务,6,18,60,78,169,13.00,28.17,23.08%
minor_quests/mq008,支线/小任务,2,9,90,99,167,49.50,83.50,9.09%
minor_quests/mq023,支线/小任务,3,15,48,63,165,21.00,55.00,23.81%
minor_quests/mq007,支线/小任务,4,11,77,88,163,22.00,40.75,12.50%
minor_quests/mq002,支线/小任务,5,13,49,62,147,12.40,29.40,20.97%
minor_quests/mq015,支线/小任务,5,14,50,64,147,12.80,29.40,21.88%
minor_quests/mq033,支线/小任务,4,36,21,57,145,14.25,36.25,63.16%
minor_quests/mq024,支线/小任务,2,15,30,45,129,22.50,64.50,33.33%
minor_quests/mq030,支线/小任务,2,8,64,72,117,36.00,58.50,11.11%
minor_quests/mq013,支线/小任务,1,7,47,54,115,54.00,115.00,12.96%
minor_quests/mq016,支线/小任务,2,14,42,56,115,28.00,57.50,25.00%
minor_quests/mq017,支线/小任务,4,12,37,49,115,12.25,28.75,24.49%
minor_quests/mq012,支线/小任务,1,5,44,49,104,49.00,104.00,10.20%
minor_quests/mq003,支线/小任务,4,13,43,56,101,14.00,25.25,23.21%
minor_quests/mq035,支线/小任务,3,6,39,45,100,15.00,33.33,13.33%
minor_quests/mq021,支线/小任务,3,12,33,45,98,15.00,32.67,26.67%
minor_quests/mq036,支线/小任务,3,12,29,41,95,13.67,31.67,29.27%
minor_quests/mq011,支线/小任务,1,6,55,61,94,61.00,94.00,9.84%
minor_quests/mq005,支线/小任务,1,7,26,33,93,33.00,93.00,21.21%
minor_quests/mq042,支线/小任务,2,7,33,40,91,20.00,45.50,17.50%
minor_quests/mq038,支线/小任务,3,7,25,32,70,10.67,23.33,21.88%
minor_quests/mq041,支线/小任务,2,5,23,28,69,14.00,34.50,17.86%
minor_quests/mq022,支线/小任务,1,7,28,35,65,35.00,65.00,20.00%
minor_quests/mq029,支线/小任务,4,9,16,25,61,6.25,15.25,36.00%
minor_quests/mq034,支线/小任务,2,2,0,2,2,1.00,1.00,100.00%
